id,pdf_present,title,doi,year,source,authors,abstract,doc_type,db,_also_in,decision,confidence,triggered_criteria,reasoning,flag
P0116,True,Cooperative UAV navigation using inter-vehicle ranging and magnetic anomaly measurements,10.2514/6.2018-1595,2018,"AIAA Guidance, Navigation, and Control Conference, 2018",Yang C.; Strader J.; Gu Y.; Hypes A.; Canciani A.; Brink K.,"This paper addresses the problem of cooperative localization for a small group ofUnmanned Aerial Vehicles (UAVs) in a GPS denied environment. The developed method has two main components. First, a cooperative range localization algorithm is designed to reduce the deadreckoning error growth for each UAV’s global pose estimate and obtain a reliable estimate of relative positions inside the UAV group to be used as an input to a cooperative magnetic localization algorithm. The UAV poses are estimated by sharing inter-vehicle ranging and visual-inertial odometry information. Two communiction scenarios are considered, the first one assumes that each UAV can communicate with all other UAVs at once, and the second scenario assumes that each UAV can only communicate with one other UAV at each point in time. Using the shared measurements, an Extended Kalman Filter (EKF) is running on-board each UAV to estimate the poses of all UAVs in the group. In the second step, the cooperative magnetic localization algorithm bounds the error growth of the UAVs’ global poses using a particle filter to match magnetic anomaly measurements acquired by each UAV to a prior magnetic anomaly map based on the estimated UAV group shape. Simulation results show substantial improvements in navigation performance using the cooperative range localization algorithm as compared to the dead-reckoning performance of each individual UAV. In addition, the developed cooperative magnetic localization approach shows performance and robustness benefits compared to cooperative magnetic localization using only a single UAV. © 2018, American Institute of Aeronautics and Astronautics Inc, AIAA. All rights reserved.",Conference paper,scopus,,INCLUDE,high,INC-1|INC-2|INC-3|INC-6,"UAVs sharing visual-inertial odometry information and using EKF for pose estimation (INC-1), targets UAVs in GPS-denied environments (INC-2, INC-6), and is a peer-reviewed conference paper (INC-3).",
P0467,False,SLOAM: Semantic Lidar Odometry and Mapping for Forest Inventory,10.1109/lra.2019.2963823,2020,IEEE Robotics and Automation Letters,S. W. Chen; G. V. Nardari; E. S. Lee; C. Qu; X. Liu; R. A. F. Romero; V. Kumar,"This letter describes an end-to-end pipeline for tree diameter estimation based on semantic segmentation and lidar odometry and mapping. Accurate mapping of this type of environment is challenging since the ground and the trees are surrounded by leaves, thorns and vines, and the sensor typically experiences extreme motion. We propose a semantic feature based pose optimization that simultaneously refines the tree models while estimating the robot pose. The pipeline utilizes a custom virtual reality tool for labeling 3D scans that is used to train a semantic segmentation network. The masked point cloud is used to compute a trellis graph that identifies individual instances and extracts relevant features that are used by the SLAM module. We show that traditional lidar and image based methods fail in the forest environment on both Unmanned Aerial Vehicle (UAV) and hand-carry systems, while our method is more robust, scalable, and automatically generates tree diameter estimations.",IEEE Journals,ieee,,EXCLUDE,high,EXC-3,"A semantic LIDAR odometry and mapping system without any mention of visual or inertial components, failing to satisfy INC-1 which requires VIO fusion of both camera and IMU data.",
P0231,True,High-Altitude Precision Landing by Smartphone Video Guidance Sensor and Sensor Fusion,10.3390/drones8020037,2024,Drones,Silva Cotta J.L.; Gutierrez H.; Bertaska I.R.; Inness J.P.; Rakoczy J.,"This paper describes the deployment, integration, and demonstration of the Smartphone Video Guidance Sensor (SVGS) as novel technology for autonomous 6-DOF proximity maneuvers and high-altitude precision landing of UAVs via sensor fusion. The proposed approach uses a vision-based photogrammetric position and attitude sensor (SVGS) to support the precise automated landing of a UAV from an initial altitude above 100 m to ground, guided by an array of landing beacons. SVGS information is fused with other on-board sensors at the flight control unit to estimate the UAV’s position and attitude during landing relative to a ground coordinate system defined by the landing beacons. While the SVGS can provide mm-level absolute positioning accuracy depending on range and beacon dimensions, the proper operation of the SVGS requires a line of sight between the camera and the beacon, and readings can be disturbed by environmental lighting conditions and reflections. SVGS readings can therefore be intermittent, and their update rate is not deterministic since the SVGS runs on an Android device. The sensor fusion of the SVGS with on-board sensors enables an accurate and reliable update of the position and attitude estimates during landing, providing improved performance compared to state-of-art automated landing technology based on an infrared beacon, but its implementation must address the challenges mentioned above. The proposed technique also shows significant advantages compared with state-of-the-art sensors for High-Altitude Landing, such as those based on LIDAR. © 2024 by the authors.",Article,scopus,wos,INCLUDE,high,INC-1|INC-2|INC-6,"Sensor fusion between vision-based SVGS and onboard sensors for UAV pose estimation (INC-1), explicitly targets UAV precision landing (INC-2).",
P0016,True,GeoVINS: Geographic-Visual-Inertial Navigation System for Large-Scale Drift-Free Aerial State Estimation,10.1109/tro.2025.3613467,2025,IEEE Transactions on Robotics,Li C.; He M.; Chen C.; Liu J.; Lyu X.; Huang G.; Meng Z.,"This article introduces GeoVINS, a vision-based navigation framework designed for large-scale global state estimation. By utilizing geographic information from satellite orthoimagery, GeoVINS tackles scale ambiguity and accumulative drift problems inherent in standard visual-inertial simultaneous localization and mapping systems, and provides accurate, robust, and real-time global localization. In particular, to address the challenge of memory explosion issue for large-scale localization, we propose a novel aerial “classify-then-retrieve” aerial visual place recognition (VPR) approach, where geographic locations can be efficiently identified and memory usage can be reduced by 3 to 4 orders of magnitude compared to classical retrieval-based approaches. In addition, a hierarchical geographic data association scheme, enhanced by state-of-the-art deep learning-based feature matching, guarantees high efficiency and robustness against variations in appearance and viewpoint. Relying on the obtained three-dimensional (3-D) geographic information, GeoVINS achieves efficient global state initialization and precise motion tracking. To address GPU limitations in embedded devices, a collaborative CPU–GPU utilization approach is proposed, seamlessly integrating asynchronous global information to eliminate accumulative errors. Relying solely on satellite imagery and without requiring any other prior information, GeoVINS achieves rapid place recognition in unseen environments of city-scale (e.g., 2500 km2) on an embedded computing device with an inference time of 43 ms, and performs state estimation at a frequency of 25 Hz. The system enables autonomous aerial vehicle navigation as an alternative to Global Navigation Satellite System. © 2004-2012 IEEE.",Article,scopus,,INCLUDE,high,INC-1|INC-2|INC-6,"Paper clearly presents GeoVINS, a visual-inertial navigation system that fuses visual and inertial data (INC-1) for aerial vehicles as GNSS alternative (INC-2).",
P0685,False,Variational Adaptive LM-IEKF for Full State Navigation System of Wind Disturbance and Observability Analysis,10.1109/tim.2022.3191713,2022,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,,"Robust and accurate state estimation algorithms applied to the small unmanned aerial vehicles (UAVs) are always promising depending on the multiple onboard local and global sensors. This article proposes a variational adaptive Levenberg-Marquardt iterated extended Kalman filter (VA-LM-IEKF) full state estimation algorithm to calculate the reliable UAV flight state parameters in wind disturbance. The navigation system based on the LM-IEKF can provide an accurate state by expanding the optimization range of estimated points. An adaptive filter using the variational Bayesian approach is proposed to improve the filter robustness to the observation noise covariance matrix. Moreover, a judging criterion is introduced into the filter observation correction step to eliminate the observed abnormal values. In addition, observability analysis with the Lie algebra for the navigation system is established to evaluate the system observability. Simulation and real-data experiments in the self-developed small UAVs platform demonstrate that the performance of the proposed algorithm is better than the state-of-the-art methods in solution accuracy and filter robustness.",Article,wos,,EXCLUDE,high,EXC-7,"Kalman filter design and optimization techniques for UAV navigation using existing sensors, without presenting an algorithmic contribution to VIO itself.",Navigation system optimization rather than VIO algorithm development
P0118,True,Event-Based Visual/Inertial Odometry for UAV Indoor Navigation,10.3390/s25010061,2025,Sensors,Elamin A.; El-Rabbany A.; Jacob S.,"Indoor navigation is becoming increasingly essential for multiple applications. It is complex and challenging due to dynamic scenes, limited space, and, more importantly, the unavailability of global navigation satellite system (GNSS) signals. Recently, new sensors have emerged, namely event cameras, which show great potential for indoor navigation due to their high dynamic range and low latency. In this study, an event-based visual–inertial odometry approach is proposed, emphasizing adaptive event accumulation and selective keyframe updates to reduce computational overhead. The proposed approach fuses events, standard frames, and inertial measurements for precise indoor navigation. Features are detected and tracked on the standard images. The events are accumulated into frames and used to track the features between the standard frames. Subsequently, the IMU measurements and the feature tracks are fused to continuously estimate the sensor states. The proposed approach is evaluated using both simulated and real-world datasets. Compared with the state-of-the-art U-SLAM algorithm, our approach achieves a substantial reduction in the mean positional error and RMSE in simulated environments, showing up to 50% and 47% reductions along the x- and y-axes, respectively. The approach achieves 5–10 ms latency per event batch and 10–20 ms for frame updates, demonstrating real-time performance on resource-constrained platforms. These results underscore the potential of our approach as a robust solution for real-world UAV indoor navigation scenarios. © 2024 by the authors.",Article,scopus,wos,INCLUDE,high,INC-1|INC-2|INC-6,"Article presents an event-based visual-inertial odometry approach that fuses events, standard frames, and IMU measurements (INC-1) for UAV indoor navigation.",
P0680,False,AI-based approaches for improving autonomous mobile robot localization in indoor environments: A comprehensive review,10.1016/j.jestch.2025.101977,2025,ENGINEERING SCIENCE AND TECHNOLOGY-AN INTERNATIONAL JOURNAL-JESTECH,,"The adoption of indoor autonomous mobile robot (AMR) has surged significantly, driven by their ability to integrate diverse sensors, maintain low operating costs, facilitate easy deployment, and exhibit superior mobility. Nonetheless, navigating complex indoor environments presents substantial challenges that can impede AMR performance and diminish overall system efficiency. To overcome these obstacles, researchers have concentrated on developing autonomous localization techniques that empower AMR to navigate and execute tasks effectively within intricate settings. Recent advancements in artificial intelligence (AI) applications have profoundly influenced this field, enhancing the control and decision-making capabilities of AMR. This paper offers a comprehensive review of AI-based strategies aimed at improving localization of indoor AMR, including aerial vehicles. We systematically categorize and critically analyze existing research on Simultaneous Localization and Mapping (SLAM)-based methods, odometry-based approaches, and multi-sensor fusion techniques, elucidating the principles and implementations of various AI methodologies. Additionally, we discuss real-time performance challenges associated with AI-based approaches and delineate the distinctions between AI-enhanced localization methods and traditional localization techniques, highlighting the necessity and advantages of adopting AI-based solutions. By clarifying these methodologies, our goal is to enhance their comprehension and promote their widespread adoption within the field. Finally, we discuss emerging research directions and ongoing challenges, providing guidance for future investigations and advancements in the domain of indoor AMR.",Review,wos,,EXCLUDE,high,EXC-4,"This is explicitly a comprehensive review paper as stated in the title and abstract, which satisfies EXC-4 for secondary studies.",
P0018,True,Tightly-coupled Fusion of Global Positional Measurements in Optimization-based Visual-Inertial Odometry,10.1109/iros45743.2020.9341697,2020,IEEE International Conference on Intelligent Robots and Systems,Cioffi G.; Scaramuzza D.,"Motivated by the goal of achieving robust, drift-free pose estimation in long-term autonomous navigation, in this work we propose a methodology to fuse global positional information with visual and inertial measurements in a tightly-coupled nonlinear-optimization-based estimator. Differently from previous works, which are loosely-coupled, the use of a tightly-coupled approach allows exploiting the correlations amongst all the measurements. A sliding window of the most recent system states is estimated by minimizing a cost function that includes visual re-projection errors, relative inertial errors, and global positional residuals. We use IMU preintegration to formulate the inertial residuals and leverage the outcome of such algorithm to efficiently compute the global position residuals. The experimental results show that the proposed method achieves accurate and globally consistent estimates, with negligible increase of the optimization computational cost. Our method consistently outperforms the loosely-coupled fusion approach. The mean position error is reduced up to 50% with respect to the loosely-coupled approach in outdoor Unmanned Aerial Vehicle (UAV) flights, where the global position information is given by noisy GPS measurements. To the best of our knowledge, this is the first work where global positional measurements are tightly fused in an optimization-based visual-inertial odometry algorithm, leveraging the IMU preintegration method to define the global positional factors. © 2020 IEEE.",Conference paper,scopus,ieee; wos,INCLUDE,high,INC-1|INC-2,"Clear VIO fusion with visual, inertial, and global positional measurements (INC-1) and explicitly tested on UAV platforms with outdoor flights (INC-2). Published at IEEE IROS 2020 conference.",
P0120,True,UAV Navigation With Monocular Visual Inertial Odometry Under GNSS-Denied Environment,10.1109/tgrs.2023.3323519,2023,IEEE Transactions on Geoscience and Remote Sensing,Luo H.; Li G.; Zou D.; Li K.; Li X.; Yang Z.,"In global satellite navigation system (GNSS)-denied environments, unmanned aerial vehicle (UAV) navigation based on visual-inertial odometry (VIO) has been widely studied. However, existing VIO methods still suffer from some practical problems, such as image enhancement oversaturation and unreasonable weighting in backend optimization. Therefore, this article presents monocular VIO with point-line fusion and backend adaptive optimization to improve the positioning accuracy and robustness of UAV navigation systems. In the front end, we proposed an adaptive gamma image correction algorithm for image preprocessing to avoid image oversaturation, which is more conducive to image extraction and matching. Instead of the traditional line segment detector (LSD) line feature extraction algorithm, we employed an improved EDLines algorithm to enhance the efficiency of line feature extraction, better meeting the high dynamic real-time requirements of UAV. In the backend, we proposed a tightly coupled nonlinear adaptive optimization method based on a two-step approach to address the issue of unreasonable static weights. In the first step, we established a factor graph model and performed the first nonlinear optimization based on a priori visual weights. In the second step, we calculated the reprojection error and established a functional model that examines the relationship between the reprojection error and the information matrix. We updated the information matrix using the reprojection error to adaptively adjust the weights of the point features and line features in real time. Finally, we performed a second nonlinear reoptimization. The proposed method was compared with the monocular visual-inertial system (VINS-MONO) (Qin et al. 2018) and point and line features (PL)-VINS (Fu et al. 2020) methods, the experimental results showing that the positioning accuracy of the proposed method on the public EuRoc dataset (Burri et al. 2016) improved by an average of 32.3% compared with the PL-VINS method, and by an average of 33.8% in three real-world scenarios under changing illumination, weak texture, and large-scale complex scenarios. The results demonstrated that the proposed method exhibited better robustness and higher positioning accuracy in various complex environments.  © 1980-2012 IEEE.",Article,scopus,ieee; wos,INCLUDE,high,INC-1|INC-2|INC-3|INC-5|INC-6,Paper clearly presents a monocular VIO system (INC-1) for UAV navigation (INC-2) in GNSS-denied environments with adaptive optimization to improve robustness (INC-6).,
P0470,False,UAV human teleoperation using event-based and frame-based cameras,10.1109/airpharo52252.2021.9571049,2021,2021 Aerial Robotic Systems Physically Interacting with the Environment (AIRPHARO),J. P. Rodríguez-Gómez; R. Tapia; A. G. Eguíluz; J. R. Martínez-de Dios; A. Ollero,"Teleoperation is a crucial aspect for human-robot interaction with unmanned aerial vehicles (UAV s) applications. Fast perception processing is required to ensure robustness, precision, and safety. Event cameras are neuromorphic sensors that provide low latency response, high dynamic range and low power consumption. Although classical image-based methods have been extensively used for human-robot interaction tasks, responsiveness is limited by their processing rates. This paper presents a human-robot teleoperation scheme for UAVs that exploits the advantages of both traditional and event cameras. The proposed scheme was tested in teleoperation missions where the pose of a multi rotor robot is controlled in real time using human gestures detected from events.",IEEE Conferences,ieee,,EXCLUDE,high,EXC-7,"Teleoperation using gesture recognition from cameras, where pose estimation appears to be a downstream application rather than the core algorithmic contribution.","Teleoperation system using cameras for gesture detection, not VIO"
P0119,True,Towards Consistent Visual-Inertial Navigation for Unmanned Aerial Vehicles using Depth Information,10.1109/ccece49351.2022.9918398,2022,Canadian Conference on Electrical and Computer Engineering,Gomaa M.A.K.; De Silva O.; Jayasiri A.; Mann G.K.I.,This paper proposes a new filtering-based depth enhanced visual inertial navigation system (DE-VINS) for quadrotor unmanned aerial vehicles (UAV). This filter addresses the drifting and degraded performance of a class of conventional monocular VINS filters at hovering conditions. A theoretical nonlinear observability analysis is performed to verify the filter design. The performance of the proposed DE-VINS is numerically evaluated using a Matlab simulator and then compared against the conventional VINS filter proposed in literature. The results show improved performance of the DE-VINS in terms of estimation accuracy and consistency at zero-velocity flight conditions.  © 2022 IEEE.,Conference paper,scopus,ieee; wos,INCLUDE,high,INC-1|INC-2|INC-3|INC-4|INC-5|INC-6,Paper presents a depth-enhanced visual-inertial navigation system (DE-VINS) that explicitly fuses visual and inertial data (INC-1) for quadrotor UAVs (INC-2).,
P0465,False,Development of UAV Localization and Navigation Techniques for Warehouse Inventory Inspection,10.1109/icit58465.2023.10143122,2023,2023 IEEE International Conference on Industrial Technology (ICIT),Y. -H. Li; H. -Y. Lin,"The popularity and availability of UAV technologies have made industrial automation more flexible and easy to adopt. In this paper we develop a UAV navigation system for warehouse inventory inspection application. Based on the SLAM framework, a fusion scheme by integrating UWB positioning is proposed to achieve accurate and robust localization. In addition to the global planning, an obstacle avoidance algorithm based on fuzzy control and VFH is developed to generate locally smooth trajectories. The proposed techniques are verified with simulation and experiments in real-world environments. Using a commercially available drone modified with depth sensor and single-board computer, the results have demonstrated the feasibility and effectiveness of our method for collision-free path planning and obstacle avoidance in various application scenarios.",IEEE Conferences,ieee,,EXCLUDE,high,EXC-7,"Higher-level applications (warehouse inventory inspection, path planning, obstacle avoidance) where SLAM/localization appears as a trusted input.",Path planning focus with no clear VIO algorithmic development
P0019,True,Dense 3D-reconstruction from monocular image sequences for computationally constrained UAS,10.1109/wacv48630.2021.00186,2021,"Proceedings - 2021 IEEE Winter Conference on Applications of Computer Vision, WACV 2021",Domnik M.; Proenca P.; Delaune J.; Thiem J.; Brockers R.,"The ability to find safe landing sites over complex 3D terrain is an essential safety feature for fully autonomous small unmanned aerial systems (UAS), which requires on-board perception for 3D reconstruction and terrain analysis if the overflown terrain is unknown. This is a challenge for UAS that are limited in size, weight and computational power, such as small rotorcrafts executing autonomous missions on Earth, or in planetary applications such as the Mars Helicopter. For such a computationally constraint system, we propose a structure from motion approach that uses inputs from a single downward facing camera to produce dense point clouds of the overflown terrain in real time. In contrast to existing approaches, our method uses metric pose information from a visual-inertial odometry algorithm as camera pose priors, which allows deploying a fast pose refinement step to align camera frames such that a conventional stereo algorithm can be used for dense 3D reconstruction. We validate the performance of our approach with extensive evaluations in simulation, and demonstrate the feasibility with data from UAS flights. © 2021 IEEE.",Conference paper,scopus,,INCLUDE,high,INC-1|INC-2|INC-6,"Article describes a VIO-based system for UAV 3D reconstruction that uses visual-inertial odometry for pose estimation (INC-1), targets small UAS/rotorcrafts (INC-2).",
P0020,True,Development of Unmanned Aerial Vehicle Navigation and Warehouse Inventory System Based on Reinforcement Learning,10.3390/drones8060220,2024,Drones,Lin H.-Y.; Chang K.-L.; Huang H.-Y.,"In this paper, we present the exploration of indoor positioning technologies for UAVs, as well as navigation techniques for path planning and obstacle avoidance. The objective was to perform warehouse inventory tasks, using a drone to search for barcodes or markers to identify objects. For the indoor positioning techniques, we employed visual-inertial odometry (VIO), ultra-wideband (UWB), AprilTag fiducial markers, and simultaneous localization and mapping (SLAM). These algorithms included global positioning, local positioning, and pre-mapping positioning, comparing the merits and drawbacks of various techniques and trajectories. For UAV navigation, we combined the SLAM-based RTAB-map indoor mapping and navigation path planning of the ROS for indoor environments. This system enabled precise drone positioning indoors and utilized global and local path planners to generate flight paths that avoided dynamic, static, unknown, and known obstacles, demonstrating high practicality and feasibility. To achieve warehouse inventory inspection, a reinforcement learning approach was proposed, recognizing markers by adjusting the UAV’s viewpoint. We addressed several of the main problems in inventory management, including efficiently planning of paths, while ensuring a certain detection rate. Two reinforcement learning techniques, AC (actor–critic) and PPO (proximal policy optimization), were implemented based on AprilTag identification. Testing was performed in both simulated and real-world environments, and the effectiveness of the proposed method was validated. © 2024 by the authors.",Article,scopus,wos,INCLUDE,high,INC-1|INC-2,"Using visual-inertial odometry (VIO) among other indoor positioning techniques (INC-1), and the target platform is explicitly UAVs/drones for warehouse inventory tasks (INC-2).",
P0474,False,Vision-Based Estimation and Tracking on Fixed-Wing Multi-UAV Systems,10.23919/ccc64809.2025.11179822,2025,2025 44th Chinese Control Conference (CCC),P. Yang; Y. Fan; J. Zhou; S. Zheng; L. Han,"Accurate tracking of multiple fixed-wing UAVs is a crucial challenge in autonomous aerial systems, particularly in GPS-denied environments where traditional sensors struggle. The bearing-angle estimator extracts target position and velocity purely from onboard visual data, eliminating the need for external positioning systems. This article presents a vision-based estimation and tracking framework for multi-UAV systems that integrates a YOLOv8 and ByteTrack-based tracker based on the bearing-angle state estimation method. ROS2 and Gazebo-based simulation validates the approach, demonstrating successful onboard real-time tracking of three UAVs in formation flight, making it a solution for vision-based multi-UAV coordination.",IEEE Conferences,ieee,,EXCLUDE,high,EXC-7,"A target tracking system that uses vision to track other UAVs, not a VIO system for pose estimation. This is a higher-level application that uses computer vision for multi-UAV coordination, not VIO fusion for navigation.","Multi-UAV tracking application, not VIO for navigation"
P0122,True,GPLVINS: Tightly Coupled GNSS-Visual-Inertial Fusion for Consistent State Estimation with Point and Line Features for Unmanned Aerial Vehicles,10.3390/drones9110801,2025,Drones,Chen X.; Li S.; Lu R.; Zhu X.,"Highlights: What are the main findings? Proposes the GPLVINS system for UAVs, which builds a tightly coupled GNSS-visual-inertial nonlinear optimization framework by fusing point and line features on the basis of GVINS. This addresses the issue of insufficient feature extraction in traditional point-feature VIO under texture-sparse environments and enhances the stability of UAV 6-DoF pose estimation. Optimizes the traditional LSD line feature extraction algorithm: short line segments are filtered out via non-maximum suppression and length threshold screening. This not only reduces computational cost but also integrates line reprojection residuals into the optimization process, further improving positioning accuracy. What are the implication of the main findings? By comparing the performance of GPLVINS with GVINS, PL-VIO, and VINS-Fusion in indoor, outdoor, and indoor–outdoor transition scenarios, GPLVINS demonstrates superior positioning performance compared with other algorithms. Our system can handle complex situations such as drastic changes in lighting, loss of GNSS signals, or feature degradation, making it more suitable for the practical operational requirements of UAVs. Offers a more reliable state estimation scheme for UAV autonomous navigation. Particularly in GNSS-constrained or visually sparse feature scenarios, the incorporation of line features supplements environmental constraints and reduces the risk of pose drift, laying a foundation for subsequent extensions to stereo vision and adaptation to larger-scale textureless scenarios. The employment of linear features to enhance the positioning precision and robustness of point-based VIO (visual-inertial odometry) has attracted mounting attention, especially for UAV (unmanned aerial vehicle) applications where reliable 6-DoF pose estimation is critical for autonomous navigation, mission execution, and safety. This paper presents GPLVINS—GNSS (global navigation satellite system)-point-line-visual-inertial navigation system—a UAV-tailored enhancement of the nonlinear optimization-based GVINS (GNSS-visual-inertial navigation system). Unlike GVINS, which struggles with feature extraction in weak-texture environments and depends entirely on point features, GPLVINS innovatively integrates line features into its state optimization framework to enhance robustness and accuracy. While existing studies adopt the LSD (line segment detector) algorithm for line feature extraction, this approach often generates numerous short line segments in real-world scenes. Such an outcome not only increases computational costs but also degrades pose estimation performance. In order to address this issue, the present study proposes an NMS (non-maximum suppression) strategy for the refinement of LSD. The line reprojection residual is then formulated as the distance between point and line, which is incorporated into the nonlinear optimization process. Experimental validations on open-source datasets and self-collected UAV datasets across indoor, outdoor, and indoor–outdoor transition scenarios demonstrate that GPLVINS exhibits superior positioning performance and enhanced robustness for UAVs in environments with feature degradation or drastic lighting intensity variations. © 2025 by the authors.",Article,scopus,wos,INCLUDE,high,INC-1|INC-2|INC-3|INC-4|INC-5|INC-6,"GPLVINS, a tightly coupled GNSS-visual-inertial system that fuses camera and IMU data (INC-1) specifically designed for UAVs (INC-2).",
P0021,True,Visual-inertial-actuator odometry for multirotor UAVs with rotor drag and external disturbance,10.1007/s40435-023-01357-5,2023,International Journal of Dynamics and Control,Moeini A.; Lynch A.F.; Zhao Q.,"Accurate knowledge of an unmanned aerial vehicle’s (UAV) state and external forces is crucial for motion control. One method to obtain this information is Visual-Inertial-Actuator Odometry (VIAO) which combines commonly available vision and inertial sensors with actuation data which consists of a model of the vehicle dynamics and input measurements. In this paper, we propose VIAO system based on the existing VIMO (Visual Inertial Model-Based Odometry) method. Our approach includes a dynamical model for a multirotor UAV with rotor drag. In addition, a disturbance observer is added for constant force estimation. The observer is integrated to the optimization-based method by adding a residual term to the cost functional. The proposed system can differentiate between the constant or slowly time-varying component of the external force and accelerometer bias. We evaluate the performance using a benchmark dataset and show an average of 21% improvement in position estimation accuracy. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2024.",Article,scopus,wos,INCLUDE,high,INC-1|INC-2,"Paper presents a Visual-Inertial-Actuator Odometry (VIAO) system that combines visual, inertial, and actuator data for pose estimation (INC-1), explicitly targeting multirotor UAVs (INC-2).",
P0476,False,BRM Localization: UAV Localization in GNSS-Denied Environments Based on Matching of Numerical Map and UAV Images,10.1109/iros45743.2020.9341682,2020,2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),J. Choi; H. Myung,"Localization is one of the most important technologies needed to use Unmanned Aerial Vehicles (UAVs) in actual fields. Currently, most UAVs use GNSS to estimate their position. Recently, there have been attacks that target the weaknesses of UAVs that use GNSS, such as interrupting GNSS signal to crash the UAVs or sending fake GNSS signals to hijack the UAVs. To avoid this kind of situation, this paper proposes an algorithm that deals with the localization problem of the UAV in GNSS-denied environments. We propose a localization method, named as BRM (Building Ratio Map based) localization, for a UAV by matching an existing numerical map with UAV images. The building area is extracted from the UAV images. The ratio of buildings that occupy in the corresponding image frame is calculated and matched with the building information on the numerical map. The position estimation is started in the range of several km2 area, so that the position estimation can be performed without knowing the exact initial coordinate. Only freely available maps are used for training data set and matching the ground truth. Finally, we get real UAV images, IMU data, and GNSS data from UAV flight to show that the proposed method can achieve better performance than the conventional methods.",IEEE Conferences,ieee,,EXCLUDE,high,EXC-3,"A localization method based on visual map matching but does not mention any fusion with inertial/IMU data for pose estimation, failing INC-1.",
P0469,False,A UAV-Based Machine Vision Algorithm for Industrial Gauge Detecting and Display Reading,10.1109/acirs49895.2020.9162618,2020,2020 5th Asia-Pacific Conference on Intelligent Robot Systems (ACIRS),C. Li; D. Zheng; L. Liu; X. Zheng,"Unmanned Aerial Vehicle (UAV) has overwhelming superiority on the completion of difficult missions in the industrial production or implementation scenarios. Its brilliant navigation and on-board perception abilities endow the aerial platform a considerable potential in the industrial applications. Since manipulation stability and computational capacity of UAVs are crucial for industrial missions, it is challenging to develop a reliable and safe UAV platform for indoor industrial operation. Focusing on the measurement of industrial-standard gauges, we propose a vision algorithm which is capable of fast detecting the industrial-standard gauges and the readings and integrate the algorithm into a quadrotor drone platform with indoor and outdoor navigation. In our work, we demonstrate how to improve the simplicity and efficiency of the UAV-based visual recognition by implementing and adjusting a YOLO v3 framework with Darknet [1]. Moreover, our vision algorithm is combined with the image geometric correction module and the gauge detecting and reading module to overcome the detection problems caused by the harsh industrial conditions, such as an obscure image and the under-exposure condition. And the results show that accuracy of detection in the experimentation is sufficient for industrial missions.",IEEE Conferences,ieee,,EXCLUDE,high,EXC-7,"Focuses exclusively on machine vision for gauge detection and reading, with VIO mentioned only as trusted navigation input without algorithmic contribution to the VIO component itself.",Vision-only industrial application using existing navigation as black-box input
P0347,False,Distributed UAV Swarm Collaborative SLAM Based on Visual-Inertial-Ranging Measurement,10.1007/978-981-96-2220-7_18,2025,Lecture Notes in Electrical Engineering,Shou Y.; Song Z.; Qi H.; Li Z.; Chen W.,"Compared with the standalone operation, unmanned aerial vehicle (UAV) swarm systems bring the high efficiency to the task execution in a cooperative manner, and they has gained the widespread application in disaster relief, power inspection and other fields. To support the fulfillment of cooperative task, the cooperative positioning capability plays the key role in global positioning system (GPS) denied areas. However, there are still difficulties in initialization, high communication demand, and inevitable drift for swarm cooperative positioning. In order to solve the problems above, a distributed collaborative simultaneous localization and mapping (SLAM) system is developed based on ranging measurement from ultra-wideband (UWB), which specifically accelerates the initialization by introducing prior information, and optimizes the communication framework between the UAVs so as to run in real time. Besides, the ranging is introduced as the restraints on the relative drift between the nodes. The evaluation are performed on datasets recorded in a lab environment. Experiments results show that our method surpasses 15% over the mainstream visual-inertial odometry in positioning accuracy. Furthermore, our method effectively reduces the drift of the visual-inertial odometry in challenging scenarios on visual. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2025.",Conference paper,scopus,wos,INCLUDE,high,INC-1|INC-2|INC-3|INC-5|INC-6,"A visual-inertial-ranging SLAM system for UAV swarms (satisfying INC-1 and INC-2), addresses GPS-denied environments and challenging visual scenarios (satisfying INC-6), and is a 2025 conference paper.",
