id,title,year,venue,doi,pdf_retrieved,in_final_corpus
P0377,GOMSF: Graph-Optimization Based Multi-Sensor Fusion for robust UAV Pose estimation,2018,Proceedings - IEEE International Conference on Robotics and Automation,10.1109/icra.2018.8460193,Y,Y
P0378,C2VIR-SLAM: Centralized Collaborative Visual-Inertial-Range Simultaneous Localization and Mapping,2022,Drones,10.3390/drones6110312,Y,Y
P0381,Autonomous Navigation Algorithm of Monocular UAV Based on Depth Estimation and Robust VIO,2024,"2024 11th International Forum on Electrical Engineering and Automation, IFEEA 20",10.1109/ifeea64237.2024.10878697,Y,Y
P0383,Perception in the dark—development of a ToF visual inertial odometry system,2020,Sensors (Switzerland),10.3390/s20051263,Y,Y
P0385,A Novel Three-Stage Robust Adaptive Filtering Algorithm for Visual-Inertial Odometry in GNSS-Denied Environments,2023,IEEE Sensors Journal,10.1109/jsen.2023.3289313,Y,N
P0388,Toward Aerial Collaborative Stereo: Real-Time Cross-Camera Feature Association and Relative Pose Estimation for UAVs,2025,IEEE Sensors Journal,10.1109/jsen.2025.3532699,Y,N
P0392,Rapid Initialization Method of Unmanned Aerial Vehicle Swarm Based on VIO-UWB in Satellite Denial Environment,2024,Drones,10.3390/drones8070339,Y,N
P0393,Laser-aided Infrared Visual Inertial Odometry for Unmanned Aerial Vehicle with Multi-plane Constraint,2019,ICARM 2018 - 2018 3rd International Conference on Advanced Robotics and Mechatro,10.1109/icarm.2018.8610740,Y,Y
P0396,Cascade-structured Visual-Inertial Navigation System for Aerial Imaginary,2024,Proceedings of the International Technical Meeting of The Institute of Navigatio,10.33012/2024.19636,N (EXC-8),N
P0398,Improving UAV Localization Accuracy by Tracking Visual Features in a Georeferenced Map,2022,Lecture Notes in Electrical Engineering,10.1007/978-981-16-9492-9_308,N (EXC-8),N
P0399,Improving Visual Inertial Odometry with UWB Positioning for UAV Indoor Navigation,2022,Proceedings - International Conference on Pattern Recognition,10.1109/icpr56361.2022.9956500,N (EXC-8),N
P0401,Low Latency Visual Inertial Odometry With On-Sensor Accelerated Optical Flow for Resource-Constrained UAVs,2025,IEEE SENSORS JOURNAL,10.1109/jsen.2024.3406948,Y,N
P0403,Research on Unmanned Aerial Vehicle (UAV) Visual Landing Guidance and Positioning Algorithms,2024,Drones,10.3390/drones8060257,Y,Y
P0405,Autonomous Customized Quadrotor With Vision-Aided Navigation For Indoor Flight Challenges,2022,"2022 8th International Conference on Mechatronics and Robotics Engineering, ICMR",10.1109/icmre54455.2022.9734105,Y,N
P0406,Structure Priors Aided Visual-Inertial Navigation in Building Inspection Tasks with Auxiliary Line Features,2022,IEEE Transactions on Aerospace and Electronic Systems,10.1109/taes.2022.3142663,Y,Y
P0407,Enhanced Altitude Estimation for Unmanned Aerial Vehicles in a GNSS-denied Environment,2024,"2024 International Conference on Unmanned Aircraft Systems, ICUAS 2024",10.1109/icuas60882.2024.10556904,Y,N
P0408,Computationally efficient visual-inertial sensor fusion for Global Positioning System-denied navigation on a small quadr,2016,Advances in Mechanical Engineering,10.1177/1687814016640996,Y,Y
P0409,Development of an Algorithm for Absolute Visual Navigation of an Unmanned Aerial Vehicle,2025,Russian Aeronautics,10.3103/s1068799825030067,Y,N
P0412,Robust visual-inertial localization with weak GPS priors for repetitive UAV flights,2017,Proceedings - IEEE International Conference on Robotics and Automation,10.1109/icra.2017.7989745,Y,Y
P0414,A tightly-coupled dense monocular Visual-Inertial Odometry system with lightweight depth estimation network,2025,Applied Soft Computing,10.1016/j.asoc.2025.112809,Y,Y
P0417,Enhancing VIO Robustness Under Sudden Lighting Variation: A Learning-Based IMU Dead-Reckoning for UAV Localization,2024,IEEE Robotics and Automation Letters,10.1109/lra.2024.3377950,Y,Y
P0418,In-Flight Initialization of Global Visual-Inertial Estimators using Geospatial Data,2024,IEEE International Conference on Intelligent Robots and Systems,10.1109/iros58592.2024.10802622,Y,Y
P0422,Square-Root Inverse Filter-based GNSS-Visual-Inertial Navigation,2024,Proceedings - IEEE International Conference on Robotics and Automation,10.1109/icra57147.2024.10611666,Y,Y
P0424,A Novel Relocating Recognition Algorithm in Overlapping Region for Multi-UAVs Cluster,2022,"Proceedings of 2022 IEEE International Conference on Unmanned Systems, ICUS 2022",10.1109/icus55513.2022.9986862,Y,N
P0427,LSAF-LSTM-Based Self-Adaptive Multi-Sensor Fusion for Robust UAV State Estimation in Challenging Environments †,2025,Machines,10.3390/machines13020130,Y,Y
P0429,Design and Implementation of Indoor Visual Autonomous Navigation System for Quadrotor UAV Based on Binocular Camera and ,2023,"2023 3rd International Conference on Computer Science, Electronic Information En",10.1109/cei60616.2023.10527790,Y,N
P0431,Enhanced State Estimation for Cruise Missiles Navigation: A BDS-Aided VIO Approach,2025,Lecture Notes in Electrical Engineering,10.1007/978-981-96-2224-5_42,N (EXC-8),N
P0434,LM-VINS: A Lightweight Magnetic-Assisted Visual-Inertial Navigation System for Unmanned Aerial Vehicles,2025,2025 China Automation Congress (CAC),10.1109/cac67268.2025.11487778,Y,Y
P0437,Error State Extended Kalman Filter Multi-Sensor Fusion for Unmanned Aerial Vehicle Localization in GPS and Magnetometer ,2022,2022 International Conference on Unmanned Aircraft Systems (ICUAS),10.1109/icuas54217.2022.9836124,Y,Y
P0438,A Multi-Sensor Fusion Framework for Unmanned Aerial Vehicle (UAV) Navigation and Inspection in GPS-Denied and Degraded E,2026,2026 IEEE Applied Sensing Conference (APSCON),10.1109/apscon68325.2026.11497125,Y,N
P0440,SupSLAM: A Robust Visual Inertial SLAM System Using SuperPoint for Unmanned Aerial Vehicles,2021,2021 8th NAFOSTED Conference on Information and Computer Science (NICS),10.1109/nics54270.2021.9701527,Y,Y
P0450,Design and Implementation of Tennis Ball Boy Robot Based on a Quadrotor UAV,2023,"2023 8th International Conference on Automation, Control and Robotics Engineerin",10.1109/cacre58689.2023.10208124,Y,N
P0455,UAV state and parameter estimation in wind using calibration trajectories optimized for observability,2021,2021 American Control Conference (ACC),10.23919/acc50511.2021.9482853,Y,N
P0459,Towards UAV-Based Absolute Hierarchical Localization in Confined Spaces,2020,"2020 IEEE International Symposium on Safety, Security, and Rescue Robotics (SSRR",10.1109/ssrr50563.2020.9292616,Y,N
P0481,Data-Efficient Collaborative Decentralized Thermal-Inertial Odometry,2022,IEEE Robotics and Automation Letters,10.1109/lra.2022.3194675,Y,Y
P0485,Robust Sensor Fusion for Autonomous UAV Navigation in GPS denied Forest Environment,2022,2022 IEEE 5th International Symposium in Robotics and Manufacturing Automation (,10.1109/roma55875.2022.9915682,Y,N
P0506,Visual industrial inspection using aerial robots,2014,Proceedings of the 2014 3rd International Conference on Applied Robotics for the,10.1109/carpi.2014.7030056,Y,N
P0512,Swan-Inspired Unmanned Aerial Vehicles With Long-neck Visual Perception System,2019,2019 IEEE/ASME International Conference on Advanced Intelligent Mechatronics (AI,10.1109/aim.2019.8868743,Y,N
P0535,LSTM and Filter Based Comparison Analysis for Indoor Global Localization in UAVs,2021,IEEE Access,10.1109/access.2021.3049896,Y,Y
P0538,Towards Globally Consistent Visual-Inertial Collaborative SLAM,2018,2018 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra.2018.8461213,Y,Y
P0544,Collaborative 6DoF Relative Pose Estimation for Two UAVs with Overlapping Fields of View,2018,2018 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra.2018.8461143,Y,N
P0545,Encoderless Gimbal Calibration of Dynamic Multi-Camera Clusters,2018,2018 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra.2018.8462920,Y,Y
P0565,High-Altitude Visual Feature-Based Multi-Sensor Tightly Coupled Pose Estimation,2025,"2025 9th International Conference on Vision, Image and Signal Processing (ICVISP",10.1109/icvisp68610.2025.11451677,Y,Y
P0584,Confidence Factor-Based Robust Localization Algorithm With Visual-Inertial-LiDAR Fusion in Underground Space,2025,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2025.3530077,Y,Y
P0589,A Quadrotor Autonomous System for Warehouse Inspection: An Integrated Approach of Perception-Control-Planning,2025,"2025 International Conference on Power, Electrical Engineering, Electronics and ",10.1109/peeec67807.2025.00048,Y,N
P0594,A Robust UAV System for Operations in a Constrained Environment,2020,IEEE Robotics and Automation Letters,10.1109/lra.2020.2970980,Y,N
P0607,Cluster-ALIV: Aerial LiDAR-Inertia-Visual Dense Reconstruction for Cluster UAV,2025,IEEE Robotics and Automation Letters,10.1109/lra.2025.3559839,Y,N
P0624,Particle Filter-Based Localization Using Visual Feature Synchronization in GNSS-Denied Navigation,2025,"2025 Integrated Communications, Navigation and Surveillance Conference (ICNS)",10.1109/icns65417.2025.10976891,Y,Y
P0627,Flexible Trinocular: Non-rigid Multi-Camera-IMU Dense Reconstruction for UAV Navigation and Mapping,2019,2019 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros40897.2019.8967651,Y,N
P0632,Flying Co-Stereo: Enabling Long-Range Aerial Dense Mapping via Collaborative Stereo Vision of Dynamic-Baseline,2026,IEEE Transactions on Robotics,10.1109/tro.2026.3658293,Y,Y
P0645,Enforcing Vision-Based Localization using Perception Constrained N-MPC for Multi-Rotor Aerial Vehicles,2022,2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros47612.2022.9981643,Y,N
P0662,"FAST-LIVO2: Fast, Direct LiDAR–Inertial–Visual Odometry",2025,IEEE Transactions on Robotics,10.1109/tro.2024.3502198,Y,Y
P0663,$D^{2}$SLAM: Decentralized and Distributed Collaborative Visual-Inertial SLAM System for Aerial Swarm,2024,IEEE Transactions on Robotics,10.1109/tro.2024.3422003,Y,Y
P0676,A UAV-based explore-then-exploit system for autonomous indoor facility inspection and scene reconstruction,2023,AUTOMATION IN CONSTRUCTION,10.1016/j.autcon.2023.104753,Y,N
P0057,Evaluation of a Commercially Available Autonomous Visual Inertial Odometry Solution for Indoor Navigation,2020,"2020 International Conference on Unmanned Aircraft Systems, ICUAS 2020",10.1109/icuas48674.2020.9213962,Y,N
P0059,Gnss spoofing detection based on coupled visual/inertial/gnss navigation system,2021,Sensors,10.3390/s21206769,Y,N
P0063,Formation Maintenance Method for Multi-UAV in Unknown Environments,2025,"2025 4th International Conference on Artificial Intelligence, Internet of Things",10.1109/aiotc66747.2025.11198761,Y,Y
P0076,Tightly-coupled Line Feature-aided Visual Inertial Localization within Lightweight 3D Prior Map for Intelligent Vehicles,2023,"IEEE Conference on Intelligent Transportation Systems, Proceedings, ITSC",10.1109/itsc57777.2023.10422196,Y,Y
P0198,A New Visual & Inertial Based Satellite Quality Evaluation Method,2022,ACM International Conference Proceeding Series,10.1145/3573942.3573994,Y,N
P0278,Aerial robots on the way to underground: An experimental evaluation of VINS-mono on visual-inertial odometry camera,2019,"IEEE International Conference on Data Mining Workshops, ICDMW",10.1109/icdmw.2019.00024,Y,N
P0387,Augmented Ultra-Wideband Localization for Quadrotor UAV: Disturbance Rejection and Credibility Quantification,2026,IEEE Transactions on Industrial Electronics,10.1109/tie.2025.3642438,N (EXC-8),N
P0425,A UAV-Based Aircraft Surface Defect Inspection System via External Constraints and Deep Learning,2022,IEEE Transactions on Instrumentation and Measurement,10.1109/tim.2022.3198713,Y,Y
P0456,Visual-Inertial State-Estimation Using Ground Station for UAV,2023,"2023 4th International Conference on Computing, Mathematics and Engineering Tech",10.1109/icomet57998.2023.10099145,Y,N
P0466,GNSS-denied geolocalization of UAVs by visual matching of onboard camera images with orthophotos,2021,2021 20th International Conference on Advanced Robotics (ICAR),10.1109/icar53236.2021.9659333,Y,N
P0525,A Dead Reckoning Method Based on Martian Atmosphere Polarized Skylight and Celestial Navigation for Mars Exploration UAV,2023,2023 China Automation Congress (CAC),10.1109/cac59555.2023.10450638,Y,N
P0526,Integrated UWB-Vision Approach for Autonomous Docking of UAVs in GPS-denied Environments,2019,2019 International Conference on Robotics and Automation (ICRA),10.1109/icra.2019.8793851,Y,N
P0546,Localization of UGV Guided by UAV Using Visual Inertia Sensors and UWB,2024,2024 IEEE 18th International Conference on Control & Automation (ICCA),10.1109/icca62789.2024.10591852,Y,N
P0613,Optimal Navigation and Obstacle Avoidance for UAV in Urban Canyons,2025,2025 IEEE 12th International Workshop on Metrology for AeroSpace (MetroAeroSpace,10.1109/metroaerospace64938.2025.11114464,Y,Y
