reference_id,authors_year,year,venue,doi,country_institution,class_id,relevance_score,qa_total,vio_architecture,fusion_method,visual_frontend,features_representation,imu_preintegration,adaptive_online,uav_platform,benchmark_dataset,evaluation_metrics,challenging_conditions,key_contribution,limitations_stated,relevant_rqs,reviewer_notes,aux_sensors,aux_measurement_models,aux_fusion_weight,aux_evidence,height_channel,height_channel_weighting,frontend_type,point_features,frontend_evidence,per_keypoint_quality_scoring,quality_scoring_evidence,limitation_codes,limitation_evidence,recode_notes
P0031,"Tabassum, T. E., Petrunin, I., Rana, Z. A. (2024). Position ",2024,"ION GNSS+ 2024 (37th International Technical Meeting of the Satellite Division of The Institute of Navigation), The Institute of Navigation (conference paper; author accepted manuscript from Cranfield CERES repository, CC BY 4.0)",10.33012/2024.19790,United Kingdom.,C2,3,4.0,Loosely coupled. A feature-based monocular VO [2] produces a position (and attitude) estimate.,Hybrid: error-state Kalman filter.,Monocular camera.,"Point features: 'feature-based VO algorithm [2]' (Fu et al. 2020) chosen 'for its simplicity and reliability' (pp. 3, 5).",No.,Yes - two GRU error compensators.,Simulated UAV in MATLAB UAV Toolbox / Unreal Engine 'US city' scene flown via.,"(1) Custom simulated dataset, MATLAB Navigation/UAV Toolbox + Unreal Engine 'US city' scene: 12 training trajectories with fog.","Position RMSE [m] per axis (N, E, D/V), 3D and horizontal.",GNSS-denied urban (UAM) flight; illumination variation and shadows.,"First combination of two GRU-based error compensators (pre-fusion VO position error and post-fusion ESKF position error) with an ESKF in a monocular VIO, evaluated for position uncertainty reduction under combined simulated fault conditions and out-of-distribution scenarios.","The framework can compensate introduced errors but cannot repair or predict lost features, a limitation when critical features are completely missing (p. 14).","RQ2 (hybrid filter + learning-augmented architecture), RQ3 (algorithmic-level adaptation: learned error compensation for visual degradation and model error), RQ4 (custom Unreal-Engine simulation plus EuRoC MH05; RMSE and 95th-percentile metrics), RQ5 (stated limitations: lost features, vertical drift, unseen faults).",Thematic class: C2 adaptive/robust estimation (learning-augmented). Principal validation is simulation-only (MATLAB/Unreal Engine).,,,,"p.14 This study demonstrated a proposed multi-ML hybrid VIO fusion framework using sensor data from IMU and camera Camera + IMU only. No GNSS, LiDAR, UWB, magnetometer, barometer, altimeter, map matching or fiducials fused.",no,,not stated,no,"p.5 Featured-based VO is preferred for the research due to its simplicity and reliability, contrasting with data-driven VO which requires more computational resources and extensive training data. The paper only says 'feature-based VO algorithm [2]'.",no,"Error compensation acts on the VO position output and the ESKF position, not on individual features; no descriptor response, uniqueness or match-confidence weighting.",L2;L3,"L2: Importantly, while the framework can compensate for introduced errors, it may not repair or predict lost features, which remains a limitation in scena; L3: To further enhance performance, incorporating another sensor may help reducing vertical drift.",
P0256,"Omotuyi, O., Kumar, M. (2021). UAV Visual-Inertial Dynamics ",2021,"IFAC-PapersOnLine, vol. 54, issue 20 (IFAC conference proceedings volume; the paper header does not name the meeting, volume 54-20 corresponds to the 2021 Modeling, Estimation and Control Conference), Elsevier, open access CC BY-NC-ND",10.1016/j.ifacol.2021.11.272,"USA; Mechanical Engineering, University of Cincinnati, Ohio",C1,1,4.0,Loosely coupled.,UKF.,"Monocular (forward-facing simulated camera, 640x360, 30 Hz, fed to monocular VINS-Mono; p. 5).",Not described in the paper beyond the VIO name and settings: 'The maximum number of tracked features by VINS-Mono was set at 150 and no'.,No in the proposed UKF.,No,Quadrotor; simulated 3DR Iris in the PX4-SITL / Gazebo simulator (p. 5).,"Custom Gazebo PX4-SITL simulation, three self-generated trajectories: Trajectory 1 'Square-Pattern', Trajectory 2 'Figure-8'.",Translational RMSE [m] and rotational RMSE [deg] per trajectory for VINS-Mono and VI-D with percent decrease.,None explicitly targeted or evaluated. GPS-denied / indoor localisation is the motivation.,"A modular, VIO-agnostic UKF (USQUE) state estimator whose prediction step is the full quadrotor translational and rotational dynamics driven by known thrust and torque inputs (with random-walk external force and torque states), updated with the pose/velocity/angular-velocity output of VINS-Mono.",None stated explicitly. Future work only: real-life experimental validation (all results are simulation) and estimation of external forces and torques (p. 5).,"RQ2 (filter-based, loosely coupled UKF architecture; dynamics-aided VIO), RQ4 (Gazebo/PX4-SITL simulation, RMSE metrics). Marginal RQ3 (system-level strategy: model-based prior from vehicle dynamics; no adaptive mechanism) and RQ5 (simulation-only gap).","Not an adaptive VIO: Q and R are constant and hand-tuned, there is no feature-quality gating, fault detection, covariance adaptation.",,,,"p.3 The inputs, U to the systems are the known control thrust and torque inputs generated from the four rotor speeds using (1) and (5).",no,,consumed pose stream,no,"p.3 Hence, we obtained the measurements for the filter update step from VINS-Mono because it is open-source and it has real-time capability. VINS-Mono outputs the position, velocity, orientation amd the unbiased angular velocity of the vehicle.",no,No per-feature weighting; the filter never sees features.,none stated,,
P0284,"Ghanizadegan, K. and Hashim, H. A. (2025). Quaternion-based ",2025,"IEEE Transactions on Instrumentation and Measurement (journal), IEEE",10.1109/tim.2024.3509582,Canada.,C1,2,3.5,"Tightly coupled: 3D feature-point coordinates in the body frame enter the UKF update directly through the measurement model fb,i = Rq(qk)^T.",UKF - quaternion-based navigation UKF (QNUKF) on S3 x R3 x R3 with custom quaternion/rotation-vector addition and subtraction operators.,"Stereo (monochrome global-shutter Aptina MT9V034 pair of the EuRoC MAV at 20 Hz, p.9).",Point features: Kanade-Lucas-Tomasi (KLT) / Shi-Tomasi 'good features to track' [41] matched between left and right views.,No - the state is propagated at every IMU sample.,No,Hex-rotor MAV (AscTec Firefly) - the EuRoC dataset platform.,"EuRoC MAV dataset [40]: V1_02_medium (main validation, Figs. 4-5).","Norms of orientation error ||re,k|| (rotation-vector error).",GPS-denied navigation (primary framing); indoor flight (EuRoC static indoor room).,"A geometric quaternion-based UKF for 6-DoF visual-inertial navigation: sigma points, means and covariances are formed on S3 x R3 x R3 using custom (+)/(-) operators between quaternions and rotation vectors, a quaternion eigenvector weighted average, and (ma-1)-dimensional covariances.","None stated. The conclusion only notes as future work that adaptive noise covariance tuning will be investigated ""to mitigate this issue"".","RQ2 (filter-based architecture: quaternion UKF), RQ4 (EuRoC benchmark, RMSE/SSRMSE metrics, MAV platform); RQ3 only marginally (no adaptive/robust mechanism; robustness claimed via UKF nonlinearity handling)",Non-adaptive baseline-type paper: all noise covariances are fixed and hand-tuned (cf estimated offline from another sequence).,,,,"No sensor beyond stereo camera + 6-axis IMU is fused: p.5-6 define the input vector u_k = [omega_m, a_m] and the only measurement z_k = f_b (feature points); p.9: ""IMU, stereo images, and ground truth data were collected""",no,,optical-flow-tracked corners,yes,"p.10: ""For each set of stereo images obtained, feature points are identified using the Kanade-Lucas-Tomasi (KLT) algorithm [41]"" ([41] = Shi & Tomasi, Good features to track); ""Using triangulation [42], the 2D matched points are projected to the 3D space""",no,"p.9: ""we set the measurement noise covariance to: Cf = cf^2 I_mf"" - identical isotropic noise for every feature point",none stated,,
P0322,"Chen, D., Jiang, J., Wang, Z., Li, S. (2025). A new visual-i",2025,"Neurocomputing (Elsevier), journal",10.1016/j.neucom.2024.129017,China.,C2,3,4.0,"Tightly coupled (stereo MSCKF, S-MSCKF base; camera poses in the filter state, feature-grouped null-space update, p.3)",EKF / MSCKF (error-state) with a zeroing-neural-network.,"Stereo (S-MSCKF; MYNT EYE S1040 stereo camera, p.9)",Sparse point features tracked by optical flow (p.4: 'the optical flow method was only used for feature tracking for the left image').,No - IMU propagated between frames by continuous-time error-state model discretised with phi_k and.,Partial - ZNN zeroing dynamics e_dot = -gamma e - lambda int e.,Not stated for own experiments.,"EuRoC MAV: V1_01, V1_02, V1_03, V2_01, V2_02, V2_03, MH_03, MH_04, MH_05.","ATE as RMSE of SE(3)-aligned translation (Eq. 57-58, p.7-8: 0.221 m vs 0.426 m S-MSCKF vs 0.398 m VINS-Mono on MH_05).",None explicitly targeted. EuRoC 'rotation and significant luminance changes' mentioned as dataset difficulty (p.7).,"(1) MSCKF-NearSAC: a radius-constrained two-point RANSAC that selects the second sample point within a circle around the first, raising stereo/temporal feature-matching success rate over two-point and five-point RANSAC.",Authors state: the method relies on a linearised state transition and accuracy degrades when update frequency is low or nonlinearity is pronounced.,"RQ2 (filter-based architecture with neurodynamic error-state augmentation), RQ3 (algorithmic-level robustness: outlier rejection, error zeroing), RQ4 (EuRoC benchmark, ATE/RMSE, timing), RQ5 (drift, linearisation and Gaussian-noise limitations)","The 'neural network' is a ZNN neurodynamic ODE with hand-set gains, not a trained model; the 'simulation' of Section 4 is EuRoC dataset replay, not a simulator.",,,,No sensor beyond stereo camera + IMU enters the estimate; p.2 state vector Eq. 1 contains only IMU and camera states. The ground car's wheel 'odometer information' (p.10) is collected by the STM32 but never fused.,no,,optical-flow-tracked corners,yes,"p.4: 'Although a stereo camera was used, the optical flow method was only used for feature tracking for the left image, so the next two-point RANSAC were used for both the left and right images.'",no,"NearSAC produces a binary inlier flag m per match by an error threshold (Algorithm 1, p.4); no per-feature weighting by descriptor response, uniqueness or match confidence.",none stated,,
P0340,"Delama, G., Shamsfakhr, F., Weiss, S., Fontanelli, D., Forna",2023,"2023 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS), IEEE (conference paper)",10.1109/iros55552.2023.10342012,Austria.,C5,5,4.0,Tightly coupled. UWB range measurements from each anchor are applied as EKF updates on the full state.,EKF / MSCKF: OpenVINS [1] MSCKF-VIO core.,Monocular.,Not stated. The paper only says UVIO is 'built upon the well-known OpenVINS [1]' (p. 1).,No. EKF/MSCKF IMU propagation between updates.,"Yes - Online calibration / online parameter estimation: UWB anchor positions, per-anchor distance-dependent (beta) and constant.",UAV.,Custom only.,Anchor initialisation position error per anchor and average [m] (Table I; box plots of ||p_A - p_A_hat|| in Fig. 6).,GNSS-denied indoor operation (primary target); VIO drift in position and heading.,"UVIO: an OpenVINS-based MSCKF/EKF that tightly fuses bias-compensated UWB ranges from multiple anchors via a delayed-update scheme, together with a fully automated in-flight anchor self-initialisation pipeline.",Real initialisation errors exceed simulation because the range model assumes constant biases while interference and reflections change them (p. 7).,"RQ2 (filter-based/MSCKF tightly-coupled architecture), RQ3 (sensor-level strategy: UWB ranging to bound drift; system-level: autonomous anchor self-initialisation, online bias estimation, resilience to camera dropout), RQ4 (custom indoor mocap evaluation; ATE RMSE), RQ5 (stated gaps: UWB outlier rejection, bias-model non-ideality).",Thematic class: C5 auxiliary modality (UWB) or C3 initialisation/observability.,UWB ranging augmentation,range to anchor,UWB ranging augmentation: fixed,"p.3 For each anchor A, a range measurement zA = h(x) + n, is described by the following model h(x) := beta d + gamma = beta ||G_p_U - G_p_A|| + gamma Range-to-anchor measurement model (UWB).",no,,not stated,no,"p.1 In this paper, we introduce UVIO, a multi-sensor framework built upon the well-known OpenVINS [1] The paper never describes feature detection, tracking or matching.",no,"No per-feature quality, response or match-confidence weighting is described; visual processing is inherited from OpenVINS without comment.",none stated,,
P0346,"Song, J., Sanchez-Cuevas, P. J., Richard, A., Rajan, R. T., ",2024,"2024 IEEE International Conference on Robotics and Automation (ICRA), IEEE (DOI 10.1109/icra57147.2024.10611466; arXiv:2309.12005v2)",10.1109/icra57147.2024.10611466,Luxembourg.,C2,3,4.5,Tightly coupled.,EKF - sliding-window MSCKF (built on Open-VINS [14]); GPS update via interpolated measurement equation as in Lee et al. [2],Not stated.,Not stated (inherited from Open-VINS; the paper does not describe feature extraction or tracking),No - EKF propagation of the IMU state between images.,Yes - online calibration of the rotational (yaw psi) extrinsic between the GPS (ENU) frame and the gravity-aligned VIO frame as a filter state.,No own flight platform. EuRoC MAV data.,EuRoC MAV: all 11 sequences.,ATE position (m) on EuRoC (Table I); ATE position (m) and orientation (deg) on KAIST (Table II).,GPS-degraded urban driving.,"Nonlinear (Lie-derivative) observability proof that the GPS-to-VIO rotational extrinsic (yaw) is observable, contradicting the linear-analysis conclusion of Lee et al. [2].",Rotational extrinsic becomes unobservable under zero horizontal velocity (p. 4-5); translational extrinsic EpV is unobservable (p. 4); GPS antenna lever arm IpG assumed known (p. 3).,"RQ2 (filter-based tightly-coupled GNSS-VIO architecture), RQ3 (online extrinsic/temporal calibration as an adaptive mechanism), RQ4 (EuRoC and KAIST benchmarks, ATE), RQ5 (observability-driven design)",GPS-aided VIO paper whose UAV relevance is via EuRoC only; half of the evaluation is a driving dataset.,GNSS / RTK / SBAS augmentation,absolute 3-D position,GNSS / RTK / SBAS augmentation: fixed,p.3 Each GPS observation can be formulated as z = EpG + ngps = EpV + EVR VpG + ngps ... where ngps is a white Gaussian noise. GPS position fused as an EKF measurement of the IMU position through the ENU-to-VIO transform.,no,,not stated,no,"p.3 Whenever a new image is received, x is augmented with the pose clone of the current xI and the visual constraints between multiple pose clones are utilized to update the state. For more details of this part, we refer interested readers to Open-VINS [14].",no,No per-feature weighting or quality scoring is described.,none stated,,
P0349,"Aslan, M. F., Durdu, A., Yusefi, A., Yilmaz, A. (2022). HVIO",2022,"Neural Networks (Elsevier), vol. 155, journal article",10.1016/j.neunet.2022.09.001,Turkey.,C1,1,4.0,Learning-based fusion; neither loosely nor tightly coupled in the estimator sense.,Learning-based (hybrid CNN + BiLSTM end-to-end regression). No filter or optimisation back-end.,Monocular grayscale image stream: two consecutive frames stacked as a 2-channel 120x188 input.,"Deep features learned end-to-end: CNN (Conv-1..6 with ReLU + batch norm, 64-1024 filters, Table 6) on raw frame pairs.",No. Raw accelerometer and gyroscope samples.,"No. All three networks are trained offline on 85% of each dataset and then applied unchanged at test time (Fig. 3 pseudo-code, p. 6).",Simulated DJI Tello quadrotor.,"(1) EuRoC MAV dataset, Vicon Room sequences V1-01, V1-02, V1-03, V2-01, V2-02, V2-03 (easy/medium/difficult), IMU 200 Hz.","Position RMSE per axis (x, y, z) and per-sequence average of the three axes [m].",GPS-denied indoor positioning.,"HVIOnet: a three-network end-to-end architecture (BiLSTM inertial net, CNN visual net, BiLSTM fusion net) that regresses UAS 3D position from raw consecutive frames and raw IMU without calibration, feature extraction, matching or keyframes.",Supervised learning structure: the method cannot be used without ground-truth training data (future: unsupervised learning).,"RQ2 (learning-based / end-to-end VIO architecture), RQ4 (EuRoC V1/V2 plus Gazebo simulation; RMSE and inference time), RQ5 (stated limitations: supervised data dependence, hyperparameter sensitivity). RQ3 only marginally: no explicit robustness mechanism beyond the learned representation.",Thematic class: C2 adaptive/robust estimation only if learning-based fusion is treated as such; otherwise C1 multi-sensor fusion (learned camera+IMU fusion).,,,,"p.11 a DL-based sensor fusion approach that integrates camera and IMU data is introduced to estimate the position of a UAS. Camera + IMU only. Ground truth (Vicon/Leica, Gazebo) is used for training targets, not fused at inference.",no,,learned end-to-end,no,"p.4 In contrast to using handcrafted features and explicit feature descriptors, our approach uses raw sensory data for direct estimation. CNN on raw frame pairs, trained end-to-end; no detector, descriptor, tracker or photometric alignment.",no,No keypoints exist; visual and inertial branches contribute a fixed 100 features each (p. 8).,none stated,,
P0417,"Yang, D., Liu, H., Jin, X., Chen, J., Wang, C., Ding, X., Xu",2024,"IEEE Robotics and Automation Letters (RA-L), vol. 9, no. 5, IEEE (journal letter)",10.1109/lra.2024.3377950,China.,C2,3,5.0,Two levels.,Hybrid: Left-Invariant Extended Kalman Filter on SE2(3) [Barrau & Bonnabel] with IMU biases absorbed into process noise (no bias states).,Monocular grayscale fisheye images.,Not applicable to the proposed method (IMU-only; consumes a VIO pose stream).,No. Discrete LIEKF propagation with zero-order hold on IMU.,Yes - mode switching: Robust-VIO's Lighting_assessment Module computes the mean grayscale intensity I_t over M=4 frames and the Output Module hands'.,Custom-made hexacopter (designed in [6]) carrying an Intel RealSense T265.,"(1) EuRoC MAV dataset [14], all 11 sequences: MH_01_easy to MH_05_difficult, V1_01_easy to V1_03_difficult.",Average translation error [m] per sequence.,"Sudden lighting variation, bright-to-dark transitions (primary target, evaluated with all lights switched off).","LIDR: a learned inertial dead-reckoning for UAVs that tightly couples a Left-Invariant EKF (SE2(3), no bias states) with a ResNet-18 network predicting position and its covariance from body-frame IMU windows plus the previous position.",Authors state.,"RQ2 (filter-based LIEKF hybridised with a neural measurement model; system-level switch architecture), RQ3 (system-level adaptation: lighting-triggered mode switching; algorithmic: learned heteroscedastic covariance, invariant filtering for stability), RQ4 (EuRoC + custom hexacopter; average translation error; Xavier NX runtime), RQ5 (generalisation gap of learned inertial models; dark-scene VIO failure).",This is primarily a learned inertial odometry paper.,,,,"p.1 To address this issue without introducing additional sensors, a learning-based dead-reckoning algorithm relying solely on inertial measurement, which shares the same source with VIO, is proposed. Empty: only camera (via the T265 VIO) and IMU are used.",no,,consumed pose stream,no,"p.5 When I_t exceeds the threshold, we consider the lighting environment to be favorable and output the position estimated by VIO.",no,No keypoints are processed; the only image quality signal is a whole-frame mean intensity over M=4 frames.,none stated,,
P0418,"Li, C., He, M., Lyu, X., Meng, Z. (2024). In-Flight Initiali",2024,"2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS), IEEE (conference paper)",10.1109/iros58592.2024.10802622,China.,C3,4,4.5,Tightly coupled.,"Hybrid: coarse-to-fine initialiser (PnP on 3D-2D geospatial correspondences for pose, closed-form linear least squares.",Monocular downward-facing camera rigidly attached to the IMU frame (p. 5); 960 x 540 images (p. 6).,Two point-feature streams: (1) learned SuperPoint [19] keypoints/descriptors matched by SuperGlue [20] between onboard image and satellite.,Yes.,Partial - geospatial fusion is gated by a RANSAC inlier-count test after SuperGlue matching.,UAV type and commercial model not stated.,Custom (no public VIO benchmark).,"Initial-position RMSE [m] (5.85 urban, 2.79 rural; Fig. 3) and per-axis E/N/U position error norm vs start time.",GPS-denied global (ENU-frame) navigation.,Hierarchical coarse-to-fine geospatial data association.,"Authors state: feature matching in mountainous and river regions remains challenging (future work, p. 8); satellite-tile retrieval deteriorates in texture-poor areas (p. 5).","RQ2 (filter-based MSCKF with optimisation-based initialiser; learning-augmented front-end), RQ3 (sensor/system-level strategy: satellite-map + DEM georeferencing for scale and global observability under degenerate motion), RQ4 (custom real + AirSim datasets; RMSE, ATE, timing), RQ5 (gaps: texture-poor terrain, DEM accuracy, GPU cost of learned matching). Thematic class C3 (initialisation, scale and observability) primary; C1 secondary.","The paper's core is an initialiser, not an adaptive estimator: the only run-time adaptation is the RANSAC-gated acceptance of geospatial associations.'.",Satellite-map / reference-map matching (absolute position),absolute position,Satellite-map / reference-map matching (absolute position): fixed,p.3 Then each feature's position Epgj in the ENU frame can be calculated via the following mapping function ... where mu represents the resolution of the satellite image in meter per pixel ... and h(.) refers to the elevation looked up from the masked DEM map.'.,no,,descriptor point features,yes,"p.2 we extract Superpoints [19] from both the onboard and corresponding satellite images, and use Superglue [20] to achieve feature matching between the cross-domain images, establishing associations between local features and latitude, longitude.",no,SuperGlue match confidences and RANSAC inlier status gate acceptance but do not drive per-feature weights; landmark noise n_gj is a single fixed Gaussian (Eq. 20).,L1;L2,"L1: For the Geo-init algorithm, due to the additional time required for geospatial feature matching, we reduce the number of keyframes to achieve similar.",
P0662,"Zheng, C., Xu, W., Zou, Z., Hua, T., Yuan, C., He, D., Zhou,",2025,"IEEE Transactions on Robotics (T-RO), vol. 41, 2025, IEEE (journal article; published online 19 November 2024)",10.1109/tro.2024.3502198,"Hong Kong SAR, China.",C1,5,4.5,Tightly coupled LiDAR-inertial-visual odometry. IMU propagates the 19-dimensional error state.,"Error-state iterated Kalman filter (ESIKF) on manifold with sequential update: state x = [R, p, v, b_g, b_a, g, tau] in SO(3) x R^16.",Monocular.,"Sparse direct / photometric. No visual features are extracted, triangulated or matched.",No.,"Yes - online inverse exposure time estimation as a filter state (tau, random-walk model, Eq. 2) to compensate illumination change.",Quadrotor / multirotor UAV (model not named) with Livox Avia LiDAR + built-in BMI088 IMU.,"Public: NTU-VIRAL (eee_01-03, nya_01-03, sbs_01-03, 9 sequences, aerial).",Absolute translational error RMSE [m] per sequence on 25 public sequences.,"LiDAR degeneration (single wall, narrow tunnels, close-proximity blind zones).","A fast, direct, tightly coupled LiDAR-inertial-visual odometry that fuses raw LiDAR points and raw image patches in a sequentially updated ESIKF on a single unified voxel map, reusing LiDAR points as visual map points with LiDAR plane priors for affine warping.","Authors state: (1) as an odometry, the system may drift over long distances; loop closure and sliding-window optimisation are left to future work (p. 19).","RQ2 (filter-based ESIKF LIVO architecture), RQ3 (sensor-level: LiDAR augmentation and unified map; algorithmic: online exposure estimation, patch quality scoring, outlier rejection, per-point LiDAR noise model), RQ4 (NTU-VIRAL, Hilti, MARS-LVIG benchmarks; ATE RMSE, processing time; desktop, ARM and NUC platforms), RQ5 (long-term drift, visual degradation gaps).",This is a LiDAR-inertial-visual system in which the camera is a secondary update on a LiDAR-built map.,LiDAR augmentation,relative pose or point cloud,LiDAR augmentation: adaptive.,"p.2 Specifically, in the LiDAR update, the system registers raw points to the map to construct and update its geometric structure, and in the visual update, the system reuses LiDAR map points as the visual map points directly without extracting.",no,,direct / photometric,no,"p.10 The underlying principle is that, when transforming the map point Gpi to the current image Ik with the ground-truth state (i.e., pose) xk.",yes,"p.8 Among all the patches attached to a visual map point, the one with the highest score is updated as the reference patch.",L2;L3,"L2: This discrepancy can be attributed to the rich structural features but poor lighting conditions of these sequences, resulting in dim and blurred image; L3: As an odometry, FAST-LIVO2 may have drifts over long distances.",
P0663,"Xu, H., Liu, P., Chen, X., Shen, S. (2024). D2SLAM: Decentra",2024,"IEEE Transactions on Robotics (T-RO), vol. 40, IEEE (journal article; received 16 Jan 2024, published 2 Jul 2024)",10.1109/tro.2024.3422003,Hong Kong (China).,C6,2,5.0,Tightly coupled.,Sliding-window factor-graph optimisation.,Stereo.,Hybrid sparse point front end: SuperPoint [49] learned keypoints and descriptors.,Yes (implied).,Yes - mode switching (collaborative D2VINS degrades to single-robot VIO when no SuperPoint features are detected.,"Custom-modified 3.5-inch cinewhoop FPV quadrotor, ~623 g take-off weight.",Public: TUM VI benchmark [73].,ATE_pos (m) and ATE_rot (deg) after multi-state alignment [42].,GNSS-denied indoor multi-UAV flight with limited/unstable communication and limited FoV overlap.,"First tightly coupled, decentralised and distributed collaborative VIO (D2VINS) using consensus ADMM on SE(3) with disjoint landmark partitioning and a multirobot landmark selection algorithm, paired with an ARock-based asynchronous distributed pose graph optimiser with rotation initialisation.",Authors state: (1) swarm-size scalability is currently constrained by communication and front-end computing capability despite the distributed back end.,"RQ2 (optimisation-based, collaborative/distributed, neural-augmented front end), RQ3 (system-level robustness: mode switching/fallback to single-robot VIO, outlier rejection, asynchronous optimisation), RQ4 (TUM VI plus custom omni datasets, ATE/RE, Xavier NX quadrotor swarm), RQ5 (limitations: compute/communication-bound scalability, VIO drift)",Thematic class: C6 integrated system / application (collaborative SLAM system).,,,,"p.18 Unlike our previous work, D2SLAM adopts a more traditional visual SLAM approach without incorporating relative measurements, such as UWB or mutual visual detection. Only cameras and IMU are fused (Fig. 2, Eq. 2).",no,,descriptor point features,yes,"p.6 Initially, we extract Nmaxsp (50-150) SuperPoint [49] sparse features and their descriptors ... These landmarks are tracked interframe using a kNN matcher with ratio test [51].",no,Features enter the residual with a uniform Huber-weighted covariance. The kNN ratio test gates matches and the multirobot landmark selection cost.,L1;L2;L3,"L1: despite its distributed back end, the scalability of swarm size is currently constrained by communication and front-end computing capabilities.",
P0044,"Chenganxu, R. Li, Y. Shi, C. Zhou, 2023. Multi-sensor fusion",2023,"2023 2nd Conference on Fully Actuated System Theory and Applications (CFASTA), Qingdao, China; IEEE. DOI 10.1109/CFASTA57821.2023.10243321",10.1109/cfasta57821.2023.10243321,China.,C1,4,2.5,Loosely coupled: a local VIO (camera + IMU) pose stream is fused with GPS position and ultrasonic height as factors in a global pose graph.,Pose-graph (factor-graph) optimisation with sliding window and Schur-complement marginalisation.,"Not stated (only 'local sensors (such as camera, IMU)' p.2; camera type never specified)",Not stated; the local VIO is treated as a black box whose pose output is consumed by the global estimator,Not stated,Partial - the title and claims assert 'GPS state detection' and operation 'in scenes where GPS is sometimes used or not' (p.5).,"Quadrotor UAV, model not named.","KITTI Odometry, sequence 07 (visual odometry benchmark, ground vehicle; GPS with 'large error' relative to ground truth, p.4).",APE w.r.t.,GPS-denied / GPS-degraded operation (tunnel; noisy GPS on KITTI); outdoor urban/highway.,"A loosely coupled global pose-graph framework that fuses a local VIO pose stream with GPS (ENU position factor) and ultrasonic height factors, using sliding-window optimisation with Schur-complement marginalisation for bounded computation, deployed in real time on a quadrotor's NUC'.",None stated,"RQ2 (loosely coupled optimisation-based architecture), RQ3 (robustness to GPS loss via multi-sensor fusion), RQ4 (KITTI + real-flight validation, ATE/APE, quadrotor/NUC platform)",Short (6 pp.) conference paper. The 'GPS state detection' in the title is never defined.,GNSS / RTK / SBAS augmentation; Radar / laser altimeter / downward rangefinder (range to ground),absolute 3-D position; range to ground,"GNSS / RTK / SBAS augmentation: not stated (title implies an on/off 'GPS state detection' switch, but no rule or covariance is given).","p.3: 'Set the position measured by GPS to ... Then the GPS constraint factor is as follows' (eq. 12); 'Using ultrasonic sensors, we can directly obtain the height of the carrier relative to the ground ...'.",yes,fixed,consumed pose stream,no,"p.2: 'Accurate local sensor data is input into the global estimator, and then accurate UAV position is output in the global coordinate system'.",no,No feature-level processing is described.,none stated,,
P0002,"Liang, L., Rao, H., Shen, G., Wang, C., Wu, X. (2023). A Rea",2023,"2023 IEEE International Conference on Real-time Computing and Robotics (RCAR), IEEE (conference paper)",10.1109/rcar58764.2023.10249971,China.,C1,2,3.5,Loosely coupled at the system level: VINS-Fusion.,"Pose-graph (factor-graph) nonlinear least squares solved with Ceres Solver (Gauss-Newton), Eq.","Stereo: Intel RealSense D435, using the binocular infrared.",Not stated beyond 'feature point tracking' performed by the open-source VINS system (p. 2).,"Yes; 'IMU pre-integration' is performed by the VINS-Fusion pipeline (p. 2, Fig. 1).",Partial - Lidar global-factor covariance scaled by the PL-ICP iteration count.,DJI F450 quadcopter frame with Intel NUC (x86) companion computer.,"Custom simulation only: XTDrone simulation environment [17], structured indoor scenario with textured ('grainy') walls.",Translation error as a percentage of trajectory length on return to origin.,GPS-denied indoor environment (primary); long-term VIO drift over extended flights.,A low-cost onboard framework that (i) de-skews 2D-LiDAR scans by linearly interpolating VINS-Fusion IMU poses per laser point.,No explicit limitations section. The authors state that PL-ICP global matching is computationally time-consuming and therefore updates at only 5 Hz.,"RQ2 (loosely-coupled pose-graph fusion around an optimisation-based stereo VIO), RQ3 (sensor-level strategy: LiDAR map-matching global factor to bound drift; system-level LiDAR de-skew from VIO), RQ4 (simulation-only evaluation, custom metrics, DJI F450 / NUC platform). Weak RQ5 (compute cost of PL-ICP as a stated gap).",Integrated-system paper (C1 multi-sensor fusion / C6 integrated system) built on unmodified VINS-Fusion; the VIO itself is not adapted.,LiDAR augmentation,relative pose or point cloud,"LiDAR augmentation: adaptive (PL-ICP iteration count; stated as design, not formulated or evaluated)","p.3 this paper uses PL-ICP (Point to Line-Iterative Closest Point) algorithm to use VIO data as the initial position of the point cloud, transforms the Lidar data into the world coordinate system after the compensation of motion distortion.",no,,optical-flow-tracked corners,yes,p.2 A specific algorithm program is run on the NUC to use the binocular camera frame and IMU data as input for the open-source VINS system to achieve feature point tracking and IMU pre-integration.,no,No per-feature weighting described; the visual front-end is used as-is from VINS-Fusion.,L1,"L1: However, the computation is time-consuming and results in a low update frequency of only 5hz because the computation process requires several iteratio",
